순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
72,항공영상에서의 객체 탐지방법 및 장치,특허,대한민국,2023-04-20,10-2023-0051901,2023-10-18,10-2592988
73,유무인 협업을 위한 무인기 통제 시스템,특허,대한민국,2022-11-09,10-2022-0148819,2023-10-17,10-2592262
74,무폭약 실선 수중 충격시험을 위한 시험장치,특허,대한민국,2021-03-02,10-2021-0027290,2023-10-13,10-2590756
75,선반 스퀼러 팁을 갖는 가스터빈 블레이드,특허,대한민국,2021-05-04,10-2021-0057902,2023-10-13,10-2590947
76,적층형 링형 압전체 및 그의 제조 방법,특허,대한민국,2021-10-01,10-2021-0130744,2023-10-13,10-2590942
77,인장형 유연센서,특허,대한민국,2021-11-11,10-2021-0154905,2023-10-13,10-2591106
78,광자기반 송수신 모듈 및 그의 동작 방법,특허,대한민국,2021-03-30,10-2021-0041428,2023-10-11,10-2589999
79,차분형 가속도계 칩의 다이 부착 방법 및 이를 이용하여 제조한 차분형 가속도계 칩 패키지,특허,대한민국,2021-05-14,10-2021-0062935,2023-10-11,10-2589974
80,인체 관절간 동력전달장치,특허,대한민국,2021-12-07,10-2021-0174055,2023-10-11,10-2589975
81,함정 블록의 생산 진척도 관리 방법 및 관리 시스템,특허,대한민국,2023-04-14,10-2023-0049119,2023-10-11,10-2589774
82,무인비행체의 경로 변경 제어 방법 및 제어 시스템,특허,대한민국,2023-03-22,10-2023-0037130,2023-10-10,10-2588748
83,기어축 토크 측정장치,특허,대한민국,2021-11-17,10-2021-0158206,2023-10-06,10-2588310
84,다축 독립 구동식 차량의 타이어 공기압 조절 시스템 및 타이어 공기압 제어 방법,특허,대한민국,2023-05-03,10-2023-0057723,2023-10-06,10-2588259
85,이차전지 승온 방법 및 그 시스템,특허,대한민국,2021-03-26,10-2021-0039491,2023-10-04,10-2587102
86,무선 통신 시스템에서 전력과 정보를 수신하기 위한 장치 및 방법,특허,대한민국,2021-07-21,10-2021-0095620,2023-10-04,10-2587105
87,해상 전파 음영지역 추정 및 안테나를 선택하는 방법 및 장치,특허,대한민국,2022-01-14,10-2022-0006048,2023-10-04,10-2587107
88,영상 통합 장치 및 그 운용 방법,특허,대한민국,2022-01-21,10-2022-0009514,2023-10-04,10-2586981
89,"공중 중계기의 위치 결정 장치, 위치 결정 방법, 위치 결정 방법을 수행하기 위한 컴퓨터 프로그램 및 컴퓨터 판독가능한 기록매체",특허,대한민국,2022-01-24,10-2022-0010043,2023-10-04,10-2586867
90,금속포일 전기증발을 사용한 무폭약 수중 충격 장치 및 방법,특허,대한민국,2021-02-25,10-2021-0025576,2023-09-27,10-2585465
91,무폭약 실선 수중 충격시험을 위한 시스템 및 시험방법,특허,대한민국,2021-03-02,10-2021-0027292,2023-09-27,10-2585475
92,열전지용 리튬 전극 분석방법,특허,대한민국,2021-03-25,10-2021-0038468,2023-09-27,10-2585775
93,대역저지 및 동작주파수 대역 가변 특성을 갖는 전도체 비발디 안테나 및 이를 포함하는 배열안테나,특허,대한민국,2023-03-07,10-2023-0030061,2023-09-27,10-2586162
94,자켓형 원자로 정지 냉각 시스템,특허,대한민국,2021-10-14,10-2021-0136773,2023-09-24,10-2584086
95,무인기 및 이의 제어 방법,특허,대한민국,2021-09-02,10-2021-0116665,2023-09-22,10-2583694
96,자율 비행과 관련된 학습 방법 및 이를 수행하는 학습 장치,특허,대한민국,2023-03-13,10-2023-0032553,2023-09-22,10-2583700
97,"열전지용 전해질, 이를 포함하는 열전지 및 열전지의 제조방법",특허,대한민국,2023-06-14,10-2023-0076326,2023-09-22,10-2583909
98,전자 마이크로 밸브를 활용한 초미량 액적 디스펜서 장치 및 액적 디스펜서 장치를 활용한 액적 적하 방법,특허,대한민국,2023-03-29,10-2023-0040943,2023-09-21,10-2583100
99,팝업 장치,특허,대한민국,2023-08-02,10-2023-0100938,2023-09-21,10-2583209
100,고온 환경에서의 유체의 상태를 검출하는 검출 프로브 및 이를 포함하는 검출 시스템,특허,대한민국,2022-01-27,10-2022-0012017,2023-09-20,10-2582739
101,주파수 도약 타이밍 오차 추정 장치 및 그 방법,특허,대한민국,2022-03-04,10-2022-0028166,2023-09-19,10-2581896
102,체계적 일반화를 위한 정보 처리 방법 및 이를 수행하는 전자 장치,특허,대한민국,2022-11-30,10-2022-0164334,2023-09-19,10-2582003
103,가변 연료 분사 장치를 포함하는 이중 모드 램제트 엔진,특허,대한민국,2023-03-20,10-2023-0035968,2023-09-19,10-2581831
104,열전지 및 이의 제조방법,특허,대한민국,2023-05-12,10-2023-0061739,2023-09-19,10-2582128
105,단말의 위치에 기초하여 전력을 할당하는 장치 및 그 방법,특허,대한민국,2021-08-25,10-2021-0112445,2023-09-18,10-2581445
106,열전지용 착화기 및 그것을 포함하는 열전지 시스템,특허,대한민국,2022-08-10,10-2022-0099860,2023-09-18,10-2581020
107,블록 희소 압축 센싱 기반 광대역 소음원 위치 추정 장치 및 그 방법,특허,대한민국,2021-05-06,10-2021-0058775,2023-09-14,10-2580412
108,레이저 조명기용 레이저 균질화 장치,특허,대한민국,2023-03-20,10-2023-0036042,2023-09-14,10-2580415
109,"발사체 식별 방법, 발사체 식별 장치 및 상기 방법을 실행시키기 위하여 기록매체에 저장된 컴퓨터 프로그램",특허,대한민국,2021-08-09,10-2021-0104755,2023-09-11,10-2578886
110,화생방 보호의 성능 시험 장치,특허,대한민국,2023-04-25,10-2023-0054085,2023-09-11,10-2578337
111,선수형 복합재 소나돔의 수밀 시스템,특허,대한민국,2021-04-05,10-2021-0043819,2023-09-08,10-2577848
112,파이로 기폭회로 및 그 운용 방법,특허,대한민국,2022-01-24,10-2022-0010257,2023-09-08,10-2578268
113,해치 구동 시스템 및 방법,특허,대한민국,2022-07-18,10-2022-0088316,2023-09-08,10-2578267
114,임피던스 계측기능을 갖는 유도탄 통신 시스템 및 그 운용 방법,특허,대한민국,2023-02-09,10-2023-0017472,2023-09-08,10-2578266
115,광학부용 일체형 유연 힌지 마운트,특허,대한민국,2023-02-21,10-2023-0023066,2023-09-08,10-2577850
116,주파수 도메인 기반의 기만주파수에 대한 잡음 부가 전자전장치 및 방법,특허,대한민국,2023-04-06,10-2023-0045521,2023-09-08,10-2578269
117,나노에너지물질을 이용한 소화장치,특허,대한민국,2023-04-06,10-2023-0045373,2023-09-08,10-2577849
118,랜덤 바람에 대한 시간 시뮬레이션을 이용한 비행체의 바람 추정 방법 및 장치,특허,대한민국,2021-11-23,10-2021-0162720,2023-09-07,10-2577728
119,추진제 탱크의 지지장치,특허,대한민국,2022-11-02,10-2022-0144447,2023-09-07,10-2577443
120,해상 발사장치,특허,대한민국,2023-02-21,10-2023-0023123,2023-09-07,10-2577690
121,빔 조향 전파고도계 및 컨벡스 최적화를 이용한 빔 조향 방법,특허,대한민국,2023-03-02,10-2023-0027930,2023-09-07,10-2577806
122,다중 채널 레이저의 광경로 맞춤 시스템,특허,대한민국,2023-03-07,10-2023-0029859,2023-09-07,10-2577730
123,고정층 흡착제 흡착 성능 분석 방법 및 장치,특허,대한민국,2023-04-28,10-2023-0055840,2023-09-07,10-2577490
124,유도무기용 에어백 장치 및 그것을 포함하는 유도무기,특허,대한민국,2021-08-12,10-2021-0106888,2023-09-06,10-2576838
125,"추진기의 공기 분출 제어 시스템, 그것을 포함하는 추진체 및 추진기의 공기 분출 제어 방법",특허,대한민국,2021-09-24,10-2021-0126727,2023-09-06,10-2576839
126,수중 운동체의 방향 제어 시스템,특허,대한민국,2023-03-06,10-2023-0029113,2023-09-05,10-2576464
127,인공위성 시스템,특허,대한민국,2023-03-08,10-2023-0030384,2023-09-05,10-2576487
128,워터 제트 추진 장치를 포함하는 이동 수단,특허,대한민국,2023-04-06,10-2023-0045666,2023-09-04,10-2575881
129,특정 인물에 특화된 딥러닝 기반 감정 인식 방법 및 장치,특허,대한민국,2023-02-08,10-2023-0016899,2023-09-01,10-2575321
130,단말의 통신 능력에 기반한 전송 전력을 할당하는 전자 장치 및 이의 동작 방법,특허,대한민국,2021-08-24,10-2021-0111645,2023-08-31,10-2574789
131,비디오 동작 검출 장치 및 방법,특허,대한민국,2022-10-31,10-2022-0142983,2023-08-30,10-2574273
132,초발수 및 발유 섬유 제조방법,특허,대한민국,2022-10-21,10-2022-0136105,2023-08-29,10-2573827
133,영상 정보 통합 처리 방법 및 이를 위한 전자 장치,특허,대한민국,2023-02-16,10-2023-0020917,2023-08-29,10-2573858
134,공기 흡입구 개폐 장치,특허,대한민국,2021-06-29,10-2021-0084857,2023-08-28,10-2573343
135,영상 정보 통합 방법 및 이를 위한 전자 장치,특허,대한민국,2023-02-10,10-2023-0018254,2023-08-28,10-2573263
136,"사이버 공격에 대한 피해 평가를 위한 방법, 시스템 및 컴퓨터 프로그램",특허,대한민국,2021-11-11,10-2021-0154765,2023-08-25,10-2572614
137,"군사용 전투 자원 제어 시스템, 군사용 전투 자원 제어 방법, 및 상기 방법을 프로세서가 수행하도록 하기 위한 명령어를 포함하는 컴퓨터 판독 가능한 기록매체",특허,대한민국,2022-09-27,10-2022-0122904,2023-08-25,10-2572535
138,"생성 모델 기반의 음성 코덱 복원 방법 및 장치, 컴퓨터 판독 가능한 기록 매체 및 컴퓨터 프로그램",특허,대한민국,2020-07-22,10-2020-0090965,2023-08-24,10-2572141
139,3차원 공간 자료 처리 방법 및 이를 위한 전자 장치,특허,대한민국,2023-02-09,10-2023-0017589,2023-08-24,10-2572159
140,볼륨형 전파흡수구조체 어셈블리,특허,대한민국,2023-06-27,10-2023-0082862,2023-08-24,10-2571852
141,이미지 스티칭을 위한 장치 및 그 방법,특허,대한민국,2021-11-15,10-2021-0157069,2023-08-23,10-2571530
142,"다시점 영상 스티칭을 위한 색 보정 방법, 영상 합성 방법, 영상 처리 장치, 저장 매체 및 컴퓨터 프로그램",특허,대한민국,2021-11-29,10-2021-0167053,2023-08-23,10-2571528
143,단일 반송파 기반 무선 통신 시스템에서 SC-FDE 신호를 송수신하는 방법 및 장치,특허,대한민국,2022-12-05,10-2022-0168166,2023-08-23,10-2571570
144,리튬 공기 전지 및 그 제조 방법,특허,대한민국,2020-05-20,10-2020-0060428,2023-08-18,10-2570076
145,탄약 내부 독성 화학물질 실시간 모니터링 및 충격완화 안전기능이 포함된 탄약 천공장치 및 탄약 내부 모니터링 방법,특허,대한민국,2023-05-19,10-2023-0064802,2023-08-18,10-2569763
